Current Lifecycle,Severity Level,Opened On,Closed Date,Job Description,Quote Amount,Occupant Name,Subject Property,Assigned Staff,Vendor,Approval Authority
resolved,high,2025-05-21,06/11/2025,"water heater failure at 252 Yale St, Houston, TX.",3972.13,Andrea Young,"252 Yale St, Houston, TX",David Garcia,Foster Maintenance,Megan Mcclain
in-progress,medium,04/03/2025,,heating not turning on at 8908 Kirby Dr, Houston, TX.,$4,407.54,Shawn Arroyo,"8908 Kirby Dr, Houston, TX",Derek Clark,Baker Solutions,Megan Mcclain
assigned,high,Jan 2026,,windows need exterior cleaning at 9455 Fannin St, Houston, TX.,5264.94,Rebecca Henderson,"9455 Fannin St, Houston, TX",Laura Bush,Wright Maintenance,Robinson Group
assigned,high,2026-04-25,,outlet not working at 9107 Post Oak Blvd, Houston, TX.,"4,835.18",Mr. James Brown,"9107 Post Oak Blvd, Houston, TX",Derek Clark,Rocha Solutions,Davis Partners
resolved,high,2026-07-25,Jul 2026,rodent activity in storage room at 1233 Bellaire Blvd, Houston, TX.,2414.60,Jesse Mckay,"1233 Bellaire Blvd, Houston, TX",Sherri Edwards,Hoffman Services,Davis Partners
open,medium,2025-09-26,,heating not turning on at 3239 Kirby Dr, Houston, TX.,4506.62,Carlos Walls,"3239 Kirby Dr, Houston, TX",Nicholas Martin,,Matthew Gardner
open,low,07/29/2026,,dead trees need removal at 3446 Main St, Houston, TX.,198.90,Eric Carney,"3446 Main St, Houston, TX",Mark Diaz,,
open,high,2025-11-06,,drywall damage in lobby at 9455 Fannin St, Houston, TX.,5460.86,Rebecca Henderson,"9455 Fannin St, Houston, TX",Melinda Cameron,,Robinson Group
open,low,2025-04-29,,overgrown parking lot median at 8908 Kirby Dr, Houston, TX.,$5,975.77,Shawn Arroyo,"8908 Kirby Dr, Houston, TX",Laura Bush,,Megan Mcclain
in-progress,medium,2026-12-15,,water heater failure at 4046 Hempstead Rd, Houston, TX.,5698.82,Tammy Allison,"4046 Hempstead Rd, Houston, TX",Laura Bush,Richards Services,Walker Group
resolved,high,2025-10-14,10/26/2025,carpet stains in common area at 3446 Main St, Houston, TX.,3713.13,Eric Carney,"3446 Main St, Houston, TX",Daniel Adams,Wright Maintenance,Robinson Partners
resolved,low,07/12/2026,2026-07-14,irrigation system broken at 444 Fannin St, Houston, TX.,4129.8,Nicole Brown,"444 Fannin St, Houston, TX",Darren Roberts,Ross Services,Abigail Shaffer
resolved,high,2025-08-06,Aug 2025,flickering lights at 3239 Kirby Dr, Houston, TX.,595.46,Carlos Walls,"3239 Kirby Dr, Houston, TX",Sandra Montgomery,Rocha Solutions,
resolved,low,08/01/2025,2025-08-09,leaking pipe under sink at 3219 Richmond Ave, Houston, TX.,"4,602.69",Thomas Ramos,"3219 Richmond Ave, Houston, TX",Derek Clark,Foster Maintenance,Rogers & Associates
resolved,low,2025-05-29,06/16/2025,rodent activity in storage room at 3219 Richmond Ave, Houston, TX.,5157.52,Thomas Ramos,"3219 Richmond Ave, Houston, TX",Derek Clark,Hoffman Services,Rogers & Associates
